created,chargeTimeHrs,kwhTotal
41964,4.671666667,6.76
42041,1.611944444,0.75
41967,2.245833333,6.69
41968,4.738333333,6.96
41974,3.580277778,6.86
42009,3.791944444,8.18
42060,1.301388889,1.88
42143,2.605,6.19
42159,3.486111111,5.79
42163,3.199166667,5.54
42181,2.668333333,6.12
42191,3.306944444,5.6
42193,3.863888889,6.89
42195,2.778055556,6.4
42205,2.922222222,5.89
42214,3.033611111,5.98
42220,3.745555556,5.64
42230,2.830555556,6.73
42244,3.954166667,6.08
42262,3.652777778,6.3
42278,3.245555556,5.56
42279,3.710833333,6.26
42135,4.541111111,1.42
42137,2.070277778,6.26
42138,4.8825,2.29
42158,2.770555556,6.05
42160,3.587222222,6.93
42192,3.000833333,7.43
42194,3.875833333,7.51
42199,5.808055556,7.19
42200,6.810277778,7.13
42271,3.837222222,6.84
42279,0.023333333,0
42279,2.719166667,7.04
42080,2.944166667,6.84
