datetime,I5-N VDS 759576,I5-N VDS 763237,I5-N VDS 759602,I5-N VDS 716974,I5-N VDS 716990,I5-S VDS 71693,I5-S VDS 716941,I5-S VDS 716958,I5-S VDS 759783,I5-S VDS 716991,I5-SVDS 759250,I5-S VDS 774344,I5-S VDS 759870,I5-S VDS 716016,I5-S VDS 759933,I110-N VDS 716484,I110-N VDS 763384,I110-N VDS 764032,I110-N VDS 771667,I110-N VDS 767768,I110-S VDS 716485,I110-S VDS 716500,I110-S VDS 763447,I110-S VDS 773012, I10-W VDS 763341,I10-W VDS 717036,I10-W VDS 769118,I10-W VDS 717071,I10-W VDS 717125,I10-W VDS 717160,I10-W VDS 717200
10/1/2023 00:00,3242,2966,2576,387,387,3902,2576,2968,387,387,3674,2576,387,387,1440,2578,3674,3242,3899,985,2259,3674,3902,2057,2576,3244,2578,1609,1559,2852,2332
10/1/2023 01:00,2133,1977,1705,195,195,2513,1705,1978,195,195,2475,1705,195,195,1440,1704,2474,2133,2513,741,1490,2475,2513,1221,1705,2130,1704,1203,1387,2056,1664
10/1/2023 02:00,1546,1544,1273,110,110,1967,1273,1544,110,110,1889,1273,110,110,1067,1271,1889,1546,1966,633,1111,1889,1967,970,1273,1545,1271,932,1155,1387,1072
10/1/2023 03:00,1149,1120,924,74,74,1333,924,1119,74,74,1287,924,74,74,771,924,1289,1149,1334,595,812,1287,1333,843,924,1150,924,646,973,1118,762
10/1/2023 04:00,1230,994,887,85,85,1158,887,999,85,85,1080,887,85,85,772,887,1081,1230,1158,610,783,1080,1158,887,887,1230,887,749,1007,881,876
10/1/2023 05:00,1844,1298,1243,143,143,1511,1243,1293,143,143,1475,1243,143,143,859,1235,1479,1844,1515,602,1081,1475,1511,916,1243,1839,1235,1146,1153,1482,1224
10/1/2023 06:00,2820,2026,1886,244,244,2439,1886,2025,244,244,2340,1886,244,244,871,1886,2339,2820,2442,751,1649,2340,2439,1005,1886,2819,1886,1585,1298,2295,1771
10/1/2023 07:00,3693,2861,2588,391,391,3549,2588,2863,391,391,3367,2588,391,391,1318,2589,3367,3693,3550,908,2267,3367,3549,1182,2588,3689,2589,1747,1467,2683,2221
10/1/2023 08:00,4880,3738,3488,627,627,4600,3488,3737,627,627,4444,3488,627,627,1831,3492,4443,4880,4593,1095,3056,4444,4600,1657,3488,4878,3492,2642,1968,4054,3176
10/1/2023 09:00,6312,4885,4634,988,988,5911,4634,4885,988,988,5755,4634,988,988,2714,4634,5756,6312,5907,1452,4052,5755,5911,2103,4634,6318,4634,3537,2734,5489,4254
10/1/2023 10:00,7045,5611,5460,1346,1346,6790,5460,5612,1346,1346,6806,5460,1346,1346,3000,5460,6801,7045,6792,1614,4780,6806,6790,2490,5460,7045,5460,3424,2999,6395,4916
10/1/2023 11:00,6927,5866,5767,1515,1515,7079,5767,5867,1515,1515,7195,5767,1515,1515,3817,5763,7191,6927,7081,1713,5049,7195,7079,2547,5767,6930,5763,3951,3228,6251,5672
10/1/2023 12:00,6810,6012,5952,1554,1554,7170,5952,6014,1554,1554,7375,5952,1554,1554,4071,5951,7373,6810,7171,1825,5207,7375,7170,2585,5952,6806,5951,4005,3199,6130,5647
10/1/2023 13:00,6679,6013,6018,1562,1562,7214,6018,6014,1562,1562,7461,6018,1562,1562,4572,6021,7457,6679,7214,2027,5266,7461,7214,2607,6018,6679,6021,4031,3264,6094,5902
10/1/2023 14:00,6654,5958,5996,1547,1547,7132,5996,5964,1547,1547,7454,5996,1547,1547,4972,5994,7450,6654,7128,2079,5247,7454,7132,2539,5996,6655,5994,4105,3288,6315,6075
