test_run | INFO flwr 2024-06-03 11:24:19,591 | app.py:150 | Starting Flower server, config: num_rounds=50, no round_timeout
test_run | INFO flwr 2024-06-03 11:24:19,624 | app.py:163 | Flower ECE: gRPC server running (50 rounds), SSL is disabled
test_run | INFO flwr 2024-06-03 11:24:19,624 | server.py:92 | [INIT]
test_run | INFO flwr 2024-06-03 11:24:19,624 | server.py:279 | Requesting initial parameters from one random client
test_run | INFO flwr 2024-06-03 11:24:19,890 | server.py:285 | Received initial parameters from one random client
test_run | INFO flwr 2024-06-03 11:24:19,890 | server.py:94 | Evaluating initial global parameters
test_run | INFO flwr 2024-06-03 11:24:19,890 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:19,890 | server.py:111 | [ROUND 1]
test_run | INFO flwr 2024-06-03 11:24:19,891 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:21,323 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | WARNING flwr 2024-06-03 11:24:21,325 | fedavg.py:252 | No fit_metrics_aggregation_fn provided
test_run | INFO flwr 2024-06-03 11:24:21,326 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:21,368 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | WARNING flwr 2024-06-03 11:24:21,369 | fedavg.py:283 | No evaluate_metrics_aggregation_fn provided
test_run | INFO flwr 2024-06-03 11:24:21,369 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:21,369 | server.py:111 | [ROUND 2]
test_run | INFO flwr 2024-06-03 11:24:21,369 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:21,825 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:21,826 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:21,860 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:21,860 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:21,861 | server.py:111 | [ROUND 3]
test_run | INFO flwr 2024-06-03 11:24:21,861 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:22,318 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:22,321 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:22,365 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:22,365 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:22,365 | server.py:111 | [ROUND 4]
