created,chargeTimeHrs,stationId,kwhTotal
41964,4.671666667,129465,6.76
42041,1.611944444,129465,0.75
41967,2.245833333,129465,6.69
41968,4.738333333,129465,6.96
41974,3.580277778,129465,6.86
42009,3.791944444,129465,8.18
42060,1.301388889,129465,1.88
42143,2.605,129465,6.19
42159,3.486111111,129465,5.79
42163,3.199166667,129465,5.54
42181,2.668333333,129465,6.12
42191,3.306944444,129465,5.6
42193,3.863888889,129465,6.89
42195,2.778055556,129465,6.4
42205,2.922222222,129465,5.89
42214,3.033611111,129465,5.98
42220,3.745555556,129465,5.64
42230,2.830555556,129465,6.73
42244,3.954166667,129465,6.08
42262,3.652777778,129465,6.3
42278,3.245555556,129465,5.56
42279,3.710833333,129465,6.26
42135,4.541111111,129465,1.42
42137,2.070277778,129465,6.26
42138,4.8825,129465,2.29
42158,2.770555556,129465,6.05
42160,3.587222222,129465,6.93
42192,3.000833333,129465,7.43
42194,3.875833333,129465,7.51
42199,5.808055556,129465,7.19
42200,6.810277778,129465,7.13
42271,3.837222222,129465,6.84
42279,0.023333333,129465,0
42279,2.719166667,129465,7.04
42080,2.944166667,129465,6.84
42132,0.832777778,131897,2.5
42060,2.809722222,131897,6.32
42102,2.096666667,131897,4.69
42103,3.336944444,131897,4.21
42131,1.180277778,131897,3.54
42137,3.016666667,131897,3.41
42142,2.828611111,131897,4.54
42150,3.088888889,131897,5.26
42163,2.307222222,131897,2.81
42198,2.624444444,131897,3.81
42208,3.115,131897,6.44
42222,1.513611111,131897,3.05
42228,2.0175,131897,3.08
42230,3.576388889,131897,4.35
42263,2.330833333,131897,2.93
42130,4.888611111,131897,5.96
42081,2.356944444,131897,6.85
42090,3.149722222,131897,6.88
42179,3.433333333,131897,6.93
42181,3.177777778,131897,4.47
42249,2.994722222,131897,6.83
42261,1.985277778,131897,5.38
42277,3.384444444,131897,3.78
41991,0.179166667,134427,0.81
42222,3.980555556,134427,3.93
42201,3.154166667,134427,4.3
42229,3.557777778,134427,6.73
42212,3.903611111,191826,7.1
42216,0.637777778,191826,1.89
42216,0.480277778,191826,1.42
42235,3.443055556,191826,7.08
42227,2.617777778,191826,6.76
42278,2.004444444,191826,0
42278,0.013333333,191826,0
42249,2.233611111,191826,6.46
42255,1.975555556,191826,6.04
42272,3.679444444,191826,6.54
42275,0.021111111,191826,0
42275,0.026666667,191826,0
42278,0.024444444,191826,0
42109,0.481388889,200695,1.4
42076,1.621111111,200695,5.12
42212,2.328611111,200695,6.85
42233,2.640555556,200695,4.75
42240,1.731388889,200695,3.61
42121,2.836666667,200695,5.7
42223,1.547222222,200695,4.64
42257,2.238333333,200695,6.81
42279,0.026388889,200695,0
42279,0.026388889,200695,0
42279,0.019722222,200695,0
42274,2.694444444,200695,5.91
42278,3.356388889,200695,5.03
41991,0.387777778,207262,1.98
42051,3.114722222,207262,6.29
42081,3.315555556,207262,19.01
42116,0.998055556,207262,1.93
42174,2.127777778,207262,6.21
42235,3.680555556,207262,1.38
42237,1.890555556,207262,5.88
42257,4.144166667,207262,4.27
42243,7.213333333,207262,14.15
42047,3.537222222,207262,8.56
42068,3.781388889,207262,6.71
42082,2.199166667,207262,6.66
42093,0.039166667,207262,0.03
42102,3.961666667,207262,3.63
42110,4.443888889,207262,6.66
42115,3.928333333,207262,6.55
42136,3.238055556,207262,6.94
42138,4.085277778,207262,6.62
42171,3.072222222,207262,5.37
42173,2.103333333,207262,3.85
42201,4.423055556,207262,4.5
42226,3.820277778,207262,7.1
42275,2.311111111,207262,6.46
42069,1.499166667,207262,4.08
42159,2.041388889,207262,4.44
42160,4.134722222,207262,3.27
